proj_unixname	description
abisum	ELF abisum is a tool to generate an ABI checksum of ELF binaries from their DWARF debug information.  It can be used to speed up builds by avoiding unnecessary re-linking of binaries.
abits-fipa-mesg	This project creates an open-source MTS (Message Transport Service) based based on FIPA (www.fipa.org) document SC00084. The goal is to develop a set of Java classes that allow existing Multi-Agent System developers to use FIPA infrastructure components.
abitsfipatools	At present one Agent transport mechanism (SC00084) is in place and publicly available. Other standards are to be implemented, namely SC00075 and XC00076. Two direct deliverables of this project are to implement the RMI ATM and WAP ATM.
abiword	The AbiWord word processor is a full-featured cross-platform word processor.
abiwordftd	AbiWord for Thumb Drives is no longer under active development. AbiWord Portable provides an up-to-date version of AbiWord for Thumb Drives - http://portableapps.com/apps/office/abiword_portable
abk	ABK is a Perl command-line based program to find somebody&#039;s adress easily.
abkey	The ABKey plugin for Apple&#039;s Address Book allows you to quickly view GPG key information for contacts as well as specify per-contact preferences for how GPGMail (the Apple Mail plugin for GPG) handles encrypting and signing of emails.
ablazespace	On the AblazeSpace-Homepage (www.ablazespace.de) I publish all my OpenGL freeware &amp; open-source games I wrote in VisualC++.
ablegray	So far, a collection of usefull PHP scripts, origanally written for ablegray.com
abm	Orienteering Event Software
abmmanager-net	Abm manager
abnet	AbNet is a library for network play of the game Abalone. It supports Unix and Windows.
abnf2c	Constructs a C automata (lexical and sintax analiser ) from a ABNF grammer. Hope in future to add backends to other languages.
abnimm	Nimm is a Wikiplugin for Gnuheter-compatible blogs but can also run stand-alone. Main strengths is its integration with Gnuheters design and codebase and the ability to regulate anonymous user editing.
aboard	aBoard is a forum software targeted at anonymity based communities, the software is built from the ground up as modular and OOP friendly for a wide variety of uses.
abook	GNU General Public License (GPL)
abooo	a plug-in for OpenOffice, to make OpenOffice be able to Check weather the documents have been optimized for people who are experiencing vision loss and/or people who are experiencing hearing loss.
aboot	aboot is the Linux bootloader for Alpha systems using the SRM console. This package also includes the utilities isomarkboot, swriteboot and sdisklabel.
abora	Abora is a hypertext system supporting fine-grained links, transclusions and user link filtering. It is inspired by Ted Nelsons Xanadu and Udanax-Gold by XOC.
abort	A Real Time Strategy Engine intended mainly for online play, but will also support single player mode. The engine is based on the Allegro game library. It will be used to make a specific game in the future, but will be very extensible nonetheless.
about-server	About Server AS is a suit for webhosters / server administrators. It allows to manage servers and also customers, datacenters and much more.
aboutyou	About You, a free, open-source PHP coded project, an easy way to setup your site to let others know who you are.
abp	This GUI application simplifies the calculation of amortization of bond premiums in simple java.  This gives a user a feel of simplicity and accurate data for investments in bonds.
abplc5	This is a library and example programs for accessing an Allen Bradley PLC5 from Linux over Ethernet.  This library supports the PLC5 family, the Pyramid Integrator, and the SLC 5/05 to various degrees.  Example programs included to show how to use the li
abpm	Fail safe package manager
abprolog	ABProlog is a distributed Prolog processor. It is actually a CORBA-based API. Written in C++, but may be used from any language which has a CORBA mapping. Highly portable: it is tested under Linux/x86, Solaris (x86 &amp; SPARC), Win32/x86, but should com
abps	ABPS - Advanced Branch Prediction Simulator - allows:\n- branch prediction simulation using multiple predictors (GAg,PAg,PAp,GShare,Perceptron);\n- detection of unbiased branches; \nResults can be seen using charts.\nStanford and SPEC2000 benchmarks are used
abqs	ABQS Batch Queue System - Runs UNIX jobs in the background. Time consuming Jobs like Database-Queries can be started through simple cusom Web-Interfaces without the need to wait for their completion and thus risking a Browser-Timeout. Come back later to
abra	Abra is a light-weight Java persistance library for storing and retrieving Java objects in relational databases.
abraham	A genealogy tool for describing and generating HTML pages of complex and vast pedigrees. We use Java, MySQL, MySQL Connector, Java Cup and hopefully Microsoft Installer Utility (MSI). The major obstacle is generating user friendly HTML pages and MSI.
abrain	@BRAIN (Associative Binary Random Access Information Network) it is an artificial intelligence engine for storing and accessing information, combining the following technologies: neural networks, fuzzy logic, neuroscience, software object-oriented design
abrams	Top down network game. Not currently being actively developed as I have other projects to work on at the moment. There will, however, be a time when I resume development.
abreeze	The goal of this project is to create a system for automated system installation and recovery for multiple server types including snort server, snort sensor, asterisk server, and TUTOS.  All of these solutions will be designed to run on Fedora Core 4.
abrg-brahms	BRAHMS (the BRain And Head Modelling System, yes we know) is a simulation framework, knitting together processes written independently into a single &quot;monolithic&quot; system, and supervising the simulation of that system.
